tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,month
689,00:04.3,11:33.8,3359,E 68 St & Madison Ave,40.7691572,-73.96703464,164,E 47 St & 2 Ave,40.75323098,-73.97032517,35033,Subscriber,1989,Jan-19
204,00:05.5,03:30.5,3504,E 123 St & Lexington Ave,40.8029263,-73.9379,3490,E 116 St & 2 Ave,40.796879,-73.937261,20501,Subscriber,1966,Jan-19
316,00:10.2,05:27.2,270,Adelphi St & Myrtle Ave,40.69308257,-73.97178913,243,Fulton St & Rockwell Pl,40.688226,-73.979382,18386,Subscriber,1984,Jan-19
726,00:22.0,12:28.2,495,W 47 St & 10 Ave,40.76269882,-73.99301222,3660,W 16 St & 8 Ave,40.74102151,-74.00138497,27616,Subscriber,1983,Jan-19
397,00:29.6,07:07.4,473,Rivington St & Chrystie St,40.72110063,-73.9919254,3467,W Broadway & Spring Street,40.72494672,-74.00165856,35096,Subscriber,1976,Jan-19
299,00:30.9,05:30.6,237,E 11 St & 2 Ave,40.73047309,-73.98672378,237,E 11 St & 2 Ave,40.73047309,-73.98672378,15087,Customer,1994,Jan-19
414,00:34.7,07:29.3,79,Franklin St & W Broadway,40.71911552,-74.00666661,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,17427,Subscriber,1992,Jan-19
216,00:39.9,04:16.7,3147,E 85 St & 3 Ave,40.77801203,-73.95407149,3151,E 81 St & York Ave,40.7728384,-73.94989233,34154,Subscriber,1992,Jan-19
43287,00:49.9,02:17.0,525,W 34 St & 11 Ave,40.75594159,-74.0021163,478,11 Ave & W 41 St,40.76030096,-73.99884222,19551,Subscriber,1980,Jan-19
363,00:57.8,07:01.1,3575,Crescent St & 34 Ave,40.76108,-73.930562,3556,24 St & 41 Ave,40.7527085,-73.9397405,17412,Subscriber,1988,Jan-19
807,01:06.1,14:33.5,3658,W 18 St & 9 Ave,40.74353373,-74.00367558,3474,6 Ave & Spring St,40.7252557,-74.00412083,31089,Subscriber,1986,Jan-19
266,00:55.7,05:22.1,358,Christopher St & Greenwich St,40.73291553,-74.00711384,3686,Gansevoort St & Hudson St,40.7394482,-74.00507033,25150,Subscriber,1983,Jan-19
931,01:33.1,17:04.1,445,E 10 St & Avenue A,40.72740794,-73.98142006,383,Greenwich Ave & Charles St,40.735238,-74.000271,17256,Subscriber,1980,Jan-19
139,01:24.1,03:43.4,307,Canal St & Rutgers St,40.71427487,-73.98990025,291,Madison St & Montgomery St,40.713126,-73.984844,33843,Subscriber,1982,Jan-19
2627,01:36.8,45:24.4,3382,Carroll St & Smith St,40.680611,-73.99475825,3604,Rogers Ave & Sterling St,40.6630619,-73.9538746,26706,Subscriber,1991,Jan-19
1143,01:38.4,20:41.4,3356,Amsterdam Ave & W 66 St,40.7746671,-73.98470567,3658,W 18 St & 9 Ave,40.74353373,-74.00367558,30362,Subscriber,1983,Jan-19
181,01:40.9,04:42.8,460,S 4 St & Wythe Ave,40.71285887,-73.96590294,3093,N 6 St & Bedford Ave,40.71745169,-73.95850939,35143,Subscriber,1980,Jan-19
775,02:02.2,14:58.0,445,E 10 St & Avenue A,40.72740794,-73.98142006,383,Greenwich Ave & Charles St,40.735238,-74.000271,35235,Subscriber,1966,Jan-19
225,02:03.1,05:48.9,325,E 19 St & 3 Ave,40.73624527,-73.98473765,507,E 25 St & 2 Ave,40.73912601,-73.97973776,27310,Subscriber,1987,Jan-19
1480,02:09.9,26:50.6,217,Old Fulton St,40.70277159,-73.99383605,439,E 4 St & 2 Ave,40.7262807,-73.98978041,32413,Subscriber,1995,Jan-19
289,02:10.0,06:59.8,496,E 16 St & 5 Ave,40.73726186,-73.99238967,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,25602,Subscriber,1993,Jan-19
501,02:12.2,10:33.9,528,2 Ave & E 31 St,40.74290902,-73.97706058,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,33634,Subscriber,1987,Jan-19
310,02:17.7,07:28.0,3617,28 Ave & 35 St,40.7671,-73.9169858,3525,23 Ave & 27 St,40.776165,-73.9153175,34697,Subscriber,1988,Jan-19
247,02:29.5,06:36.9,3256,Pier 40 - Hudson River Park,40.72771408,-74.01129574,426,West St & Chambers St,40.71754834,-74.01322069,20539,Subscriber,1989,Jan-19
487,02:30.9,10:38.6,72,W 52 St & 11 Ave,40.76727216,-73.99392888,493,W 45 St & 6 Ave,40.7568001,-73.98291153,34017,Subscriber,1989,Jan-19
611,03:16.8,13:27.9,509,9 Ave & W 22 St,40.7454973,-74.00197139,362,Broadway & W 37 St,40.75172632,-73.98753523,30612,Subscriber,1973,Jan-19
78,03:32.2,04:50.5,303,Mercer St & Spring St,40.72362738,-73.99949601,151,Cleveland Pl & Spring St,40.72210379,-73.99724901,20008,Subscriber,1981,Jan-19
1471,03:35.3,28:06.9,3687,E 33 St & 1 Ave,40.74322681,-73.97449784,259,South St & Whitehall St,40.70122128,-74.01234218,35118,Subscriber,1963,Jan-19
226,03:37.4,07:23.8,3709,W 15 St & 6 Ave,40.73804614,-73.99642959,346,Bank St & Hudson St,40.73652889,-74.00618026,31294,Subscriber,1986,Jan-19
469,03:36.2,11:25.5,146,Hudson St & Reade St,40.71625008,-74.0091059,376,John St & William St,40.70862144,-74.00722156,35149,Subscriber,1986,Jan-19
877,03:27.6,18:04.7,3175,W 70 St & Amsterdam Ave,40.77748046,-73.98288594,540,Lexington Ave & E 29 St,40.74311555,-73.98215353,26890,Subscriber,1992,Jan-19
877,03:39.0,18:16.7,346,Bank St & Hudson St,40.73652889,-74.00618026,388,W 26 St & 10 Ave,40.74971775,-74.00295035,29006,Subscriber,1986,Jan-19
1194,03:42.2,23:37.1,422,W 59 St & 10 Ave,40.770513,-73.988038,468,Broadway & W 56 St,40.7652654,-73.98192338,32223,Subscriber,1981,Jan-19
273,04:01.7,08:35.4,3435,Grand St & Elizabeth St,40.718822,-73.99596,257,Lispenard St & Broadway,40.71939226,-74.00247214,18439,Subscriber,1945,Jan-19
407,04:07.6,10:55.5,3112,Milton St & Franklin St,40.72906,-73.95779,3096,Union Ave & N 12 St,40.71924,-73.95242,15085,Subscriber,1980,Jan-19
1530,04:04.6,29:34.9,281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,394,E 9 St & Avenue C,40.72521311,-73.97768752,34359,Subscriber,1967,Jan-19
229,04:17.2,08:07.1,164,E 47 St & 2 Ave,40.75323098,-73.97032517,518,E 39 St & 2 Ave,40.74780373,-73.9734419,34021,Subscriber,1971,Jan-19
785,04:18.8,17:24.7,3662,31 Ave & Steinway St,40.7612939,-73.91691685,3530,Crescent St & Ditmars Blvd,40.7787185,-73.9145645,19096,Subscriber,1969,Jan-19
76,04:23.0,05:39.4,3418,Plaza St West & Flatbush Ave,40.6750207,-73.97111473,3349,Grand Army Plaza & Plaza St West,40.6729679,-73.97087984,14674,Subscriber,1983,Jan-19
456,04:29.7,12:06.6,439,E 4 St & 2 Ave,40.7262807,-73.98978041,301,E 2 St & Avenue B,40.72217444,-73.98368779,31011,Subscriber,1980,Jan-19
644,04:31.8,15:16.4,3413,Wyckoff St & 3 Ave,40.6827549,-73.98258555,3413,Wyckoff St & 3 Ave,40.6827549,-73.98258555,18307,Subscriber,1989,Jan-19
2564,04:32.8,47:17.6,482,W 15 St & 7 Ave,40.73935542,-73.99931783,3641,Broadway & W 25 St,40.74286877,-73.98918629,34660,Subscriber,1996,Jan-19
198,04:34.4,07:52.5,504,1 Ave & E 16 St,40.73221853,-73.98165557,461,E 20 St & 2 Ave,40.73587678,-73.98205027,35120,Subscriber,1975,Jan-19
1536,04:37.1,30:13.1,3107,Bedford Ave & Nassau Ave,40.72311651,-73.95212324,3093,N 6 St & Bedford Ave,40.71745169,-73.95850939,16015,Subscriber,1990,Jan-19
583,04:42.6,14:26.2,266,Avenue D & E 8 St,40.72368361,-73.97574813,504,1 Ave & E 16 St,40.73221853,-73.98165557,28143,Subscriber,1991,Jan-19
156,04:44.1,07:20.6,302,Avenue D & E 3 St,40.72082834,-73.97793172,394,E 9 St & Avenue C,40.72521311,-73.97768752,32414,Subscriber,1986,Jan-19
237,04:46.3,08:43.3,3418,Plaza St West & Flatbush Ave,40.6750207,-73.97111473,3358,Garfield Pl & 8 Ave,40.6711978,-73.97484126,31197,Subscriber,1981,Jan-19
873,04:52.8,19:26.2,3355,E 66 St & Madison Ave,40.76800889,-73.96845281,3170,W 84 St & Columbus Ave,40.78499979,-73.97283406,34283,Subscriber,1991,Jan-19
138,04:57.7,07:16.5,347,Greenwich St & W Houston St,40.728846,-74.008591,358,Christopher St & Greenwich St,40.73291553,-74.00711384,26474,Subscriber,1995,Jan-19
195,05:00.3,08:15.7,307,Canal St & Rutgers St,40.71427487,-73.98990025,291,Madison St & Montgomery St,40.713126,-73.984844,17292,Subscriber,1966,Jan-19
213,05:02.6,08:36.1,369,Washington Pl & 6 Ave,40.73224119,-74.00026394,229,Great Jones St,40.72743423,-73.99379025,30112,Subscriber,1959,Jan-19
107,05:15.0,07:02.0,507,E 25 St & 2 Ave,40.73912601,-73.97973776,174,E 25 St & 1 Ave,40.7381765,-73.97738662,32476,Subscriber,1989,Jan-19
748,05:15.6,17:44.6,346,Bank St & Hudson St,40.73652889,-74.00618026,388,W 26 St & 10 Ave,40.74971775,-74.00295035,28954,Subscriber,1994,Jan-19
961,05:19.5,21:21.3,499,Broadway & W 60 St,40.76915505,-73.98191841,3686,Gansevoort St & Hudson St,40.7394482,-74.00507033,32707,Subscriber,1964,Jan-19
438,05:19.6,12:38.4,3593,31 St & Broadway,40.761584,-73.925921,3589,Broadway & 12 St,40.7668,-73.9347774,30027,Subscriber,1982,Jan-19
538,05:24.3,14:22.7,237,E 11 St & 2 Ave,40.73047309,-73.98672378,3660,W 16 St & 8 Ave,40.74102151,-74.00138497,30376,Subscriber,1979,Jan-19
760,05:26.4,18:06.9,435,W 21 St & 6 Ave,40.74173969,-73.99415556,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,32877,Subscriber,1994,Jan-19
167,05:34.2,08:21.9,503,E 20 St & Park Ave,40.73827428,-73.98751968,503,E 20 St & Park Ave,40.73827428,-73.98751968,31075,Subscriber,1980,Jan-19
2103,05:37.9,40:40.9,406,Hicks St & Montague St,40.69512845,-73.99595065,3358,Garfield Pl & 8 Ave,40.6711978,-73.97484126,15398,Subscriber,1972,Jan-19
298,05:57.3,10:55.8,3461,Murray St & Greenwich St,40.71485151,-74.01122332,3664,North Moore St & Greenwich St,40.72019521,-74.01030064,15238,Subscriber,1993,Jan-19
831,06:01.3,19:52.6,325,E 19 St & 3 Ave,40.73624527,-73.98473765,3474,6 Ave & Spring St,40.7252557,-74.00412083,31207,Subscriber,1992,Jan-19
258,06:06.2,10:24.3,3585,Union St & Bedford Ave,40.6691783,-73.9554162,3604,Rogers Ave & Sterling St,40.6630619,-73.9538746,20761,Subscriber,1985,Jan-19
284,06:04.4,10:48.8,3082,Hope St & Union Ave,40.71167351,-73.95141312,3081,Graham Ave & Grand St,40.711863,-73.944024,34028,Subscriber,1979,Jan-19
253,06:20.7,10:34.4,157,Henry St & Atlantic Ave,40.69089272,-73.99612349,3440,Fulton St & Adams St,40.69241829,-73.98949474,30623,Subscriber,1977,Jan-19
547,06:26.2,15:33.8,251,Mott St & Prince St,40.72317958,-73.99480012,412,Forsyth St & Canal St,40.7158155,-73.99422366,15469,Subscriber,2000,Jan-19
179,06:27.7,09:26.8,3364,Carroll St & 5 Ave,40.6751622,-73.9814832,3419,Douglass St & 4 Ave,40.6792788,-73.98154004,30798,Subscriber,1981,Jan-19
210,06:34.6,10:05.1,499,Broadway & W 60 St,40.76915505,-73.98191841,3159,W 67 St & Broadway,40.77492513,-73.98266566,32560,Subscriber,1983,Jan-19
827,06:33.6,20:21.1,307,Canal St & Rutgers St,40.71427487,-73.98990025,276,Duane St & Greenwich St,40.71748752,-74.0104554,21240,Subscriber,1994,Jan-19
569,06:34.3,16:03.4,3490,E 116 St & 2 Ave,40.796879,-73.937261,3628,Lenox Ave & W 117 St,40.8025566,-73.9490782,20501,Subscriber,1990,Jan-19
316,06:36.0,11:52.2,285,Broadway & E 14 St,40.73454567,-73.99074142,383,Greenwich Ave & Charles St,40.735238,-74.000271,27458,Subscriber,1984,Jan-19
1148,06:38.5,25:47.1,514,12 Ave & W 40 St,40.76087502,-74.00277668,3690,Park Pl & Church St,40.71334184,-74.00935516,28882,Subscriber,1988,Jan-19
1625,06:43.3,33:49.2,241,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,3106,Driggs Ave & N Henry St,40.72325,-73.94308,19271,Subscriber,1984,Jan-19
742,06:43.8,19:06.8,504,1 Ave & E 16 St,40.73221853,-73.98165557,486,Broadway & W 29 St,40.7462009,-73.98855723,33519,Subscriber,1969,Jan-19
